match_id,league_code,season,correct_home,correct_away,note,source
1538111,JOR,2025,0,0,هدف د.13 ملغي — النتيجة الرسمية 0-0 — API لسا بيعرضها 1-0 (تحقّق حي 5 سبتمبر),winwin.com
1482107,IRQ,2025,0,3,حسم إداري — الميناء 3-0,مطابقة الجدول الرسمي
1514857,IRQ,2025,3,0,حسم إداري — بغداد 3-0,مطابقة الجدول الرسمي
1515956,IRQ,2025,3,0,حسم إداري — النجف 3-0,مطابقة الجدول الرسمي
1541768,IRQ,2025,0,3,إشراك اللاعب اليمني السروري بشكل غير قانوني,لجنة الانضباط مايو 2026
1522514,IRQ,2025,3,0,حسم إداري,مطابقة الجدول الرسمي + قرارات الانضباط
1252618,SAU,2024,0,3,الـAPI سجّلها 2-1 للعروبة والصحيح 0-3 للنصر,تحقق خارجي + مصدر النتائج الرسمي
1139905,IRQ,2023,3,0,قرار لجنة الانضباط — نفط البصرة أشرك لاعباً غير مؤهل وغير مسجّل بقيد المباراة فاعتُبر خاسراً 0-3,صحيفة الخليج 29-11-2023 نقلاً عن بيان لجنة الانضباط
1140143,IRQ,2023,1,1,الـAPI سجّلها 0-0 رغم تسجيله هدفين — د.63 للحدود ود.76 عكسي لصالح نفط ميسان,صحيفة الخليج 14-5-2024 + تحقق الاصطلاح بالداتا: team_id للهدف العكسي = الفريق المستفيد (167 من 169)
1491635,QAT,2025,3,0,الشمال×قطر — قطر أشرك فرانكو روسو (لاعب أجنبي غير مؤهل) بعد طرد لاعب,qsl.qa الرسمي + Qatar Tribune + beIN Sports
1491649,QAT,2025,3,0,قطر×الوكرة — الوكرة أشرك رضوان بركان (لاعب موقوف بعد طرد سابق بنفس اليوم),qsl.qa الرسمي + Qatar Tribune + beIN Sports
