النادي,بالداتا,ما كتبتَه,ترجمتك,المطلوب
الرياض,K. Keita,I. Keita,إبراهيم كيتا,الحرف الأول مختلف — أيهما اللاعب؟
الطلبة,J. Sattar,I. Sattar,إبراهيم ستار,الحرف الأول مختلف — أيهما اللاعب؟
العدالة,H. Asiri,Y. Asiri,يحيى عسيري,الحرف الأول مختلف — أيهما اللاعب؟
النصر,Mohammed Harzan,Mohammed Maran,محمد مران,الحرف الأول مختلف — أيهما اللاعب؟
الدرعية,(غير موجود),A. Boukrine,أيوب بوكرين,لا نظير بالداتا — تحقّق من الإملاء
ضمك,(غير موجود),D. Antolić,دوماغوي أنتوليتش,لا نظير بالداتا — تحقّق من الإملاء
الخلود,(غير موجود),Ibrahim Borobaa,إبراهيم بورباع,لا نظير بالداتا — تحقّق من الإملاء
الحزم,(غير موجود),Isser Alweq,ياسر الويق,لا نظير بالداتا — تحقّق من الإملاء
الرائد,(غير موجود),M. Fouzair,محمد فوزير,لا نظير بالداتا — تحقّق من الإملاء
العقبة,(غير موجود),O. Aqqad,أسامة العقاد,لا نظير بالداتا — تحقّق من الإملاء
الكرمة,S. Amadi,S. Amadi,س. عمادي,اختصار — نحتاج الاسم الأول كاملاً
النفط,M. Zarret,M. Zarret,م. زاريت,اختصار — نحتاج الاسم الأول كاملاً
ديالى,J. M. Baghiah,J. M. Baghiah,ج. م. بغية,اختصار — نحتاج الاسم الأول كاملاً
زاخو,G. Kiki,G. Kiki,ج. كيكي,اختصار — نحتاج الاسم الأول كاملاً
زاخو,B. Armond,B. Armond,ب. أرموند,اختصار — نحتاج الاسم الأول كاملاً
زاخو,S. Mbule,S. Mbule,س. مبولي,اختصار — نحتاج الاسم الأول كاملاً
سحاب,I. Suvad,I. Suvad,إ. سوفاد,اختصار — نحتاج الاسم الأول كاملاً
شباب الأردن,A. I. Shabab,A. I. Shabab,أ. شباب,اختصار — نحتاج الاسم الأول كاملاً
الأهلي,A. Bondarenko,A. Bondarenko,أ. بوندارينكو,اختصار — نحتاج الاسم الأول كاملاً
التعاون,B. Al Ariri,B. Al Ariri,ب. العريري,اختصار — نحتاج الاسم الأول كاملاً
الحزم,A. Al Dwehe,A. Al Dwehe,أ. الدويحي,اختصار — نحتاج الاسم الأول كاملاً
الرياض,H. Al Rzqwani,H. Al Rzqwani,ح. الرزقاني,اختصار — نحتاج الاسم الأول كاملاً
العدالة,R. Lenin,R. Lenin,ر. لينين,اختصار — نحتاج الاسم الأول كاملاً
الفتح,A. A. Khulaif Alenezi,A. A. Khulaif Alenezi,أ. خليف العنزي,اختصار — نحتاج الاسم الأول كاملاً
الوحدة,I. Brousayt,I. Brousayt,إ. بروسايت,اختصار — نحتاج الاسم الأول كاملاً
